Job esco,Skill esco,Secteur1,Secteur2,Secteur3,Secteur4,Secteur5
marketing assistant,"assist in developing marketing campaigns
build business relationships
communicate schedules to the people concerned
develop digital content
draft corporate emails
follow the statutory obligations
manage personnel agenda
manage the handling of promotional materials
organise business documents
perform business research
perform office routine activities
prepare presentation material
process commissioned instructions
revise drafts made by managers
support managers
update budget
use different communication channels",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,marketing consultant
sales assistant,"Order products
carry out active selling
carry out order intake
demonstrate products' features
ensure client orientation
ensure compliance with legal requirements
ensure stock storage safety
examine merchandise
follow up orders for customers
guarantee customer satisfaction
identify customer's needs
maintain relationship with customers
maintain relationship with suppliers
monitor stock level
operate cash register
organise product display
plan aftersales arrangements
prepare sales checks
prevent shoplifting
process refunds
provide customer follow-up services
provide customer guidance on product selection
stock shelves",Service and sales workers,Sales workers,Shop salespersons,Shop sales assistants,sales assistant
executive assistant,"apply information security policies
build business relationships
build trust
communicate schedules to the people concerned
coordinate events
disseminate messages to people
draft corporate emails
fix meetings
liaise with managers
maintain register of shareholders
manage office facility systems
manage personnel agenda
observe confidentiality
organise travel arrangements for staff
perform business research
perform clerical duties
plan schedule
process commissioned instructions
translate keywords into full texts
use different communication channels
use office systems
use spreadsheets software
use word processing software",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Administrative and executive secretaries,executive assistant
online marketer,"apply customer engagement strategy
apply social media marketing
apply strategic thinking
conduct mobile marketing
create new concepts
creatively use digital technologies
develop digital content
execute conversion testing
execute email marketing
implement marketing strategies
implement sales strategies
inspect data
manage budgets
perform copywriting
perform image editing
perform market research
perform online data analysis
perform project management
perform video editing
plan digital marketing
use content management system software
use different communication channels",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,marketing consultant
business developer,"analyse business plans
apply business acumen
carry out sales analysis
collaborate in the development of marketing strategies
expand store regional presence
identify new business opportunities
liaise with managers
manage accounts
study sales levels of products",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,business developer
business consultant,"advise on efficiency improvements
advise on financial matters
advise on personnel management
align efforts towards business development
analyse business plans
analyse business processes
analyse business requirements
analyse external factors of companies
analyse financial performance of a company
analyse internal factors of companies
analyse the context of an organisation
apply change management
build business relationships
conduct qualitative research
conduct quantitative research
identify undetected organisational needs
interpret financial statements
liaise with managers
make strategic business decisions
perform business analysis",Professionals,Business and administration professionals,Administration professionals,Management and organisation analysts,business consultant
online community manager,"align efforts towards business development
analyse consumer buying trends
analyse customer service surveys
analyse external factors of companies
analyse internal factors of companies
analyse work-related written reports
apply social media marketing
build trust
carry out forum moderation
collaborate in the development of marketing strategies
coordinate marketing plan actions
create annual marketing budget
create content title
define measurable marketing objectives
develop digital content
develop online community plan
develop professional network
evaluate marketing content
follow up online user requests
identify potential markets for companies
impart business plans to collaborators
integrate marketing strategies with the global strategy
integrate strategic foundation in daily performance
manage content development projects
manage feedback
manage profitability
perform market research
perform online data analysis
plan marketing campaigns
plan marketing strategy
provide written content
research website users
study sales levels of products
track key performance indicators
translate requirement concepts into content
use content management system software
use different communication channels
use e-services",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Public relations professionals,online community manager
promotion assistant,"assist in developing marketing campaigns
help coordinate promotional activities
perform business research
perform clerical duties
perform office routine activities
support managers",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,promotion assistant
call centre agent,"adapt to changing situations
communicate by telephone
create solutions to problems
guarantee customer satisfaction
handle tasks independently
have computer literacy
keep task records
listen actively
perform multiple tasks at the same time
present reports
process data
speak different languages
tolerate stress
use customer relationship management software",Service and sales workers,Sales workers,Other sales workers,Contact centre salespersons,call centre agent
office manager,"analyse staff capacity
create a work atmosphere of continuous improvement
give instructions to staff
identify process improvements
implement corporate governance
manage administrative systems
manage needs for stationery items
manage office appliance requirements
manage office facility systems
manage staff
perform clerical duties
use different communication channels
use office systems
write work-related reports",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Office supervisors,office manager
advertising manager,"advise on public image
advise on public relations
analyse external factors of companies
conduct public presentations
coordinate advertising campaigns
coordinate marketing plan actions
develop communications strategies
develop creative ideas
develop public relations strategies
draft press releases
draw conclusions from market research results
establish relationship with the media
give interviews to media
identify customer's needs
integrate strategic foundation in daily performance
manage budgets
manage contracts
organise press conferences
perform project management
perform public relations
prepare presentation material
protect client interests
provide cost benefit analysis reports
use different communication channels",Managers,Administrative and commercial managers,"Sales, marketing and development managers",Advertising and public relations managers,communication manager
advertising specialist,"brainstorm ideas
develop creative ideas
develop digital content
develop professional network
give live presentation
identify customer's needs
liaise with advertising agencies
perform market research
persuade clients with alternatives
receive appropriate permissions for use of recorded audiovisual examples",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,advertising specialist
aesthetician,"advise customers on usage of cosmetics
determine skin type
give massages
identify customer's needs
maintain customer service
maintain equipment
perform body wrapping
perform facial treatment
test make-up
use hair removal techniques
use laser therapy for skin conditions
work ergonomically",Service and sales workers,Personal service workers,"Hairdressers, beauticians and related workers",Beauticians and related workers,aesthetician
client relations manager,"advise on public relations
analyse consumer buying trends
build business relationships
build trust
communicate with customers
create solutions to problems
develop professional network
fix meetings
follow company standards
guarantee customer satisfaction
identify customer's needs
identify new business opportunities
liaise with managers
manage accounts
manage customer service
manage staff
maximise sales revenues
perform customers’ needs analysis
supervise the management of an establishment
supervise work",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,client relations manager
network marketer,"apply customer engagement strategy
apply social media marketing
apply strategic thinking
carry out active selling
implement marketing strategies
implement sales strategies
sell products
use different communication channels
work independently in sales",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,network marketer
